timestamp(ms),x,dx,theta,dtheta,
"1757540645.042",,,"-0.01",,
"1757540645.043",,,,,
"1757540645.142","0",,,,
"1757540645.143",,"0",,,
"1757540645.144",,,"0",,
"1757540645.145",,,,,
"1757540645.242","0",,,,
"1757540645.243",,"0",,,
"1757540645.244",,,"0.01",,
"1757540645.245",,,,,
"1757540645.343","0",,,,
"1757540645.345",,"0",,,
"1757540645.346",,,"0.01",,
"1757540645.347",,,,,
"1757540645.444","0",,,,
"1757540645.445",,"0",,,
"1757540645.446",,,"0.01",,
"1757540645.447",,,,,
"1757540645.546","0",,,,
"1757540645.547",,"0",,,
"1757540645.548",,,"0.01",,
"1757540645.646","0",,,,
"1757540645.647",,"0",,,
"1757540645.648",,,"0.01",,
"1757540645.649",,,,,
"1757540645.747","0",,,,
"1757540645.748",,"0",,,
"1757540645.749",,,"0.01",,
"1757540645.75",,,,,
"1757540645.849","0",,,,
"1757540645.85",,"0",,,
"1757540645.851",,,"0",,
"1757540645.852",,,,,
"1757540645.949","0",,,,
"1757540645.95",,"0",,,
"1757540645.951",,,"0",,
"1757540645.952",,,,,
"1757540646.05","0",,,,
"1757540646.051",,"0",,,
"1757540646.052",,,"-0.01",,
"1757540646.053",,,,,
"1757540646.151","0",,,,
"1757540646.152",,"0",,,
"1757540646.153",,,"-0.01",,
"1757540646.154",,,,,
"1757540646.253","0","0",,,
"1757540646.254",,,"-0.01",,
"1757540646.255",,,,,
"1757540646.353","0",,,,
"1757540646.354",,"0",,,
"1757540646.355",,,"-0.01",,
"1757540646.356",,,,,
"1757540646.454","0",,,,
"1757540646.455",,"0",,,
"1757540646.456",,,"-0.01",,
"1757540646.457",,,,,
"1757540646.555","0",,,,
"1757540646.556",,"0",,,
"1757540646.557",,,"0",,
"1757540646.558",,,,,
"1757540646.657","0",,,,
"1757540646.658",,"0",,,
"1757540646.659",,,"0",,
"1757540646.757","0",,,,
"1757540646.758",,"0",,,
"1757540646.759",,,"0.01",,
"1757540646.76",,,,,
"1757540646.859","0","0",,,
"1757540646.86",,,"0.01",,
"1757540646.861",,,,,
"1757540646.96","0",,,,
"1757540646.961",,"0",,,
"1757540646.962",,,"0.01",,
"1757540647.061","0","0",,,
"1757540647.063",,,"0.01",,
"1757540647.064",,,,,
"1757540647.161","0",,,,
"1757540647.162",,"0",,,
"1757540647.163",,,"0.01",,
"1757540647.164",,,,,
"1757540647.262","0",,,,
"1757540647.263",,"0",,,
"1757540647.264",,,"0",,
"1757540647.265",,,,,
"1757540647.363","0",,,,
"1757540647.364",,"0",,,
"1757540647.365",,,"0",,
"1757540647.366",,,,,
"1757540647.464","0",,,,
"1757540647.466",,"0","-0.01",,
"1757540647.467",,,,,
"1757540647.566","0",,,,
"1757540647.567",,"0",,,
"1757540647.568",,,"-0.01",,
"1757540647.667","0","0",,,
"1757540647.668",,,"-0.01",,
"1757540647.669",,,,,
"1757540647.767","0",,,,
"1757540647.768",,"0",,,
"1757540647.769",,,"-0.01",,
"1757540647.771",,,,,
"1757540647.868","0",,,,
"1757540647.869",,"0",,,
"1757540647.87",,,"-0.01",,
"1757540647.871",,,,,
"1757540647.97","0",,,,
"1757540647.971",,"0",,,
"1757540647.972",,,"0",,
"1757540647.973",,,,,
"1757540648.07","0",,,,
"1757540648.071",,"0",,,
"1757540648.072",,,"0",,
"1757540648.073",,,,,
"1757540648.171","0",,,,
"1757540648.172",,"0",,,
"1757540648.173",,,"0.01",,
"1757540648.174",,,,,
"1757540648.272","0",,,,
"1757540648.273",,"0",,,
"1757540648.274",,,"0.01",,
"1757540648.275",,,,,
"1757540648.374","0","0",,,
"1757540648.375",,,"0.01",,
"1757540648.376",,,,,
"1757540648.475","0",,,,
"1757540648.476",,"0","0.01",,
"1757540648.477",,,,,
"1757540648.575","0",,,,
"1757540648.576",,"0",,,
"1757540648.577",,,"0.01",,
"1757540648.578",,,,,
"1757540648.676","0",,,,
"1757540648.677",,"0",,,
"1757540648.678",,,"0",,
"1757540648.68",,,,,
"1757540648.777","0",,,,
"1757540648.778",,"0",,,
"1757540648.779",,,"0",,
"1757540648.78",,,,,
